"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5209","Verify STAKES MAX button to make Maximum STAKES","chromium","Sun Sep 29 00:16:04 HKT 2024","passed","Sun Sep 29 00:16:10 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","5354","Verify Initial Stake Display without Wallet Connection","chromium","Sun Sep 29 00:16:04 HKT 2024","passed","Sun Sep 29 00:16:10 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","4647","Verify Initial Stake Display without Wallet Connection","Google Chrome","Sun Sep 29 00:16:20 HKT 2024","passed","Sun Sep 29 00:16:25 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","4972","Verify STAKES MAX button to make Maximum STAKES","Google Chrome","Sun Sep 29 00:16:20 HKT 2024","passed","Sun Sep 29 00:16:25 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","7566","Verify STAKES MAX button to make Maximum STAKES","firefox","Sun Sep 29 00:16:11 HKT 2024","passed","Sun Sep 29 00:16:18 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","7222","Verify STAKES Slider","webkit","Sun Sep 29 00:16:18 HKT 2024","passed","Sun Sep 29 00:16:26 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","7753","Verify STAKES and STAKES / WEEK value on change of STAKE(Min)","webkit","Sun Sep 29 00:16:12 HKT 2024","passed","Sun Sep 29 00:16:20 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","5179","Verify STAKES MAX button to make Maximum STAKES","webkit","Sun Sep 29 00:16:17 HKT 2024","passed","Sun Sep 29 00:16:22 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","5726","Verify Initial Stake Display without Wallet Connection","firefox","Sun Sep 29 00:16:04 HKT 2024","passed","Sun Sep 29 00:16:10 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","4643","Verify Initial Stake Display without Wallet Connection","webkit","Sun Sep 29 00:16:12 HKT 2024","passed","Sun Sep 29 00:16:16 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","7599","Verify STAKES and STAKES / WEEK value on change of STAKE(Min)","firefox","Sun Sep 29 00:16:11 HKT 2024","passed","Sun Sep 29 00:16:18 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","6469","Verify STAKES and STAKES / WEEK value on change of STAKE(Min)","Google Chrome","Sun Sep 29 00:16:20 HKT 2024","passed","Sun Sep 29 00:16:27 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","6155","Verify STAKES and STAKES / WEEK value on change of STAKE(Min)","chromium","Sun Sep 29 00:16:04 HKT 2024","passed","Sun Sep 29 00:16:11 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","6797","Verify STAKES Slider","Google Chrome","Sun Sep 29 00:16:23 HKT 2024","passed","Sun Sep 29 00:16:29 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","6272","Verify STAKES Slider","firefox","Sun Sep 29 00:16:11 HKT 2024","passed","Sun Sep 29 00:16:17 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
"","6238","Verify STAKES Slider","chromium","Sun Sep 29 00:16:04 HKT 2024","passed","Sun Sep 29 00:16:11 HKT 2024","MEME Staking Simulator","features/staking-simulator.feature.spec.js","",""
